Timestamp,"In 2021, how much money did you typically receive per hour of time spent on freelance mapmaking work?","In 2021, what was the *highest* amount a client paid per hour of your time for a freelance mapping project?","In 2021, what was the *lowest* amount a client paid per hour of your time for a freelance mapping project?",Do you feel that you are generally paid fairly for your time when doing freelance mapping?,"In 2021, how much did you depend on your freelance cartography income?","In 2021, what percentage of your personal income came from freelance mapping work?","Do you charge by the hour, or a flat rate for each project?",Do you sign a written contract before beginning a project?,How do you typically find clients?,Has the COVID-19 pandemic affected your freelancing? How?,Static Maps: Hand-Drawn,Static Maps: Digital,Interactive or Dynamic Maps: Off-the-shelf,Interactive or Dynamic Maps: Custom Coded,Have you given yourself a raise in the last two years?,"If so, how much more *per hour* do you typically earn for mapping work when compared to two years ago?","Do you have a scheme, plan or interval that determines when you give yourself a raise?",How do you determine when to raise your rate?,What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,Please feel free to add additional notes/comments about your freelance rates and business practices.
2/25/2022 7:43:58,45,45,45,3,3,10,1,1,"Referrals from other mappers, Repeat business from past clients",,45,45,45,45,Yes,20,No,,Male,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Every 6 months,
2/27/2022 15:56:55,100,150,80,5,5,100,3,2,"Referrals from other mappers, Repeat business from past clients, NACIS listing of custom cartography companies, freelance agency",It had relatively little effect on my workflow or quantity. In terms of work I've had a good two years.,,95,,,Yes,15,No,When I am saturated with work,Male,,Expert (equivalent to 20+ years of full-time mapmaking work),No,,Every 2 years,"I do pay commissions both on work through a freelancer agency, and for work referred by a former employer, so my NET rate is sometimes lower than my baseline of $100-115 per hour."
2/28/2022 8:12:27,15,15,15,2,1,1,5,4,"Repeat business from past clients, referrals from other clients",The pandemic had no effect on my freelancing.,0,15,0,0,No,,No,,Female,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,Every 2 years,"I only do a handful of freelance maps each year. I have yet to make a profit from my cartography because of expensive software subscriptions that I have to maintain in order to make maps (Adobe, Global Mapper). For me, cartography is really just a very expensive hobby due to the costs of software and equipment. In future surveys, it might be interesting to see how other cartographers factor the cost of doing business into their rates and calculation of the amount of profit they are making."
3/2/2022 12:33:12,100,200,85,3,1,1,2,2,Social media,No,,,85,200,Yes,100,No,Annually,Male,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,Thanks for doing this! 
3/2/2022 21:32:55,100,200,28,3,2,50,3,3,"Referrals from other mappers, Repeat business from past clients, Word of mouth",Less time because of childcare issues,75,125,125,125,No,0,No,I appreciate this question,Female,Ph.D. cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,Thank you
3/2/2022 22:43:20,150,150,150,5,3,30,5,2,Repeat business from past clients,More business,,100,,,No,,,,Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/3/2022 9:21:53,80,80,75,4,5,50,2,4,"Referrals from other mappers, Repeat business from past clients, Cold calling / emailing",It seems like the amount of work requests have been lower due to smaller projects not moving forward. The bigger impact for freelancing feels like the reduced opportunities for networking along with the mental strain and reduced motivation the endless stream of bad or troubling news influences.,,80,80,80,Yes,5,No,,Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/4/2022 13:34:37,100,100,80,4,5,100,2,3,"Referrals from other mappers, Repeat business from past clients, teaching classes, giving presntations, that audience may become clients","Initially 2021 was tough, but after the middle of the year it ramped up, so it was a great year",NA,80,None created,100,Yes,20,No,When business is good  and conracts permit,Male,"Master’s degree in cartography/GIS/geography, MS Soil Science",Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/9/2022 13:26:35,0,0,0,5,1,0,,5,Repeat business from past clients,so i'm a volunteer mapper re freelance. I'm a photo interpreter in a salary position at work,25,25,25,25,No,0,No,salary,Male,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Every 3 years,
3/9/2022 17:37:34,250000,1000,150,5,2,66,4,1,"Advertising, Repeat business from past clients, Social media",Increased my income,,,,,No,,No,,Male,"Bachelor’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
