Timestamp,"In the last five years, what's the highest hourly rate (in USD) you've charged a client?","In the last five years, what's the lowest hourly rate (in USD) you've charged a client?","What would you say is your current average hourly rate (again, in USD)?",Do you feel that you are generally paid fairly for your time?,"Do you usually prefer to charge by the hour, or a flat rate for each project?",Do you generally sign a contract before beginning a project?,Please feel free to add additional notes/comments here about your freelance charges.,May we share your comments when publishing the results of this survey?,"How many years have you been earning money from mapmaking, either as a freelancer or otherwise?",What gender do you identify as?,In what year were you born?,In what country do you reside?,Do you consider your cartographic freelance work to be a full-time or part-time profession?,List any map-related degrees or certifications you hold
3/4/2018 11:52:06,63,55,63,3,Hourly,Sometimes,,Yes,18,Male,1975,Canada,Part time,Bachelor's degree in cartography/GIS/geography
3/2/2018 16:48:29,125,21,35,4,A fairly even mix of both,Sometimes,,Yes,19,Female,1975,United States,Full time,"Bachelor's degree in cartography/GIS/geography, Other professional certification in cartography/GIS"
3/3/2018 0:04:16,30,30,30,4,Hourly,Yes,,Yes,19,Female,1977,United States,Full time,Bachelor's degree in cartography/GIS/geography
3/2/2018 11:26:26,55,35,50,4,A fairly even mix of both,Sometimes,"If a project looks portfolio-worthy I'd be willing to drop my rate a bit. I also charge less per hour for fun projects

I do have other sources of income, so cartography is not my primary moneymaker",Yes,20,Male,1977,The Netherlands,Part time,Bachelor's degree in cartography/GIS/geography
3/8/2018 23:23:39,125,90,107.5,5,A fairly even mix of both,Sometimes,Never work without a contract but sometimes I start a project before a contract is finalized,Yes,20,Male,1974,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/5/2018 12:56:31,75,25,35,3,Flat rate,Sometimes,Note about the hourly/flat rate question above: most every client wants to be quoted a flat rate for projects.,Yes,22,Male,1969,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/2/2018 15:21:01,100,60,80,5,Hourly,Sometimes,,,22,Male,1974,Australia,Full time,Bachelor's degree in cartography/GIS/geography
3/2/2018 13:41:07,125,,100,5,A fairly even mix of both,No,,No,22,Male,1973,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/2/2018 13:00:42,75,60,70,4,Flat rate,No,"Government clients award bids based largely on lowest hourly rate—but then don't question how many hours I say something took.  

When I'm quoting a fixed price, as I prefer, I tend to visualize jobs as some number of $300 days, rather than so many $75 hours.",Yes,25,Male,1957,United States,Full time,
3/2/2018 14:13:09,200,75,100,4,Flat rate,Yes,,Yes,25,Male,1970,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/9/2018 12:36:31,50,25,35,2,A fairly even mix of both,Sometimes,"A contract is a must, especially one with some wiggle room.  I once went without, and it did not end well!  Lesson learned the hard way.",Yes,30,Female,1967,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography, GISP certification, Other professional certification in cartography/GIS"
3/2/2018 21:36:48,120,60,120,5,A fairly even mix of both,Yes,,Yes,30,Male,1964,Australia ,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/3/2018 8:06:37,60,40,50,4,A fairly even mix of both,Yes,"Sometimes, the charges include cartographic research at libraries and archives, which must be explained to the client",Yes,40,Male,1954,United States,Full time,"Master's degree in cartography/GIS/geography, GISP certification"
3/2/2018 13:27:14,70,60,70,4,Hourly,Sometimes,,No,10+,Male,1981,United States,Part time,Master's degree in cartography/GIS/geography
3/7/2018 7:44:01,75,10,15,2,A fairly even mix of both,Sometimes,,No,,Female,1985,UK,Full time,Master's degree in cartography/GIS/geography
3/3/2018 21:26:53,60,25,60,2,Flat rate,Sometimes,"I've moved from hourly rates to fixed, but still tend to underestimate and therefore undercharge.",Yes,,Female,1967,Canada,Full time,Other professional certification in cartography/GIS
3/5/2018 12:20:57,300,0,25,3,A fairly even mix of both,Sometimes,"I only do occasional freelance work. If it's quick-and-dirty work or something for a local small business, I just charge $30/hr with a 3 hour minimum (the going rate for a graphic artist around here). 

Every now and then I've worked for lawyers who needed more skilled work. I always undercharged until I realized  $300/hr is around their normal rate, and if it's really important or especially if it's for a corporate client, they'll pay that.

And if it's for an NGO or researcher I like or if the lawyer's working pro bono, I work for free, since the maps (or other data graphics) won't get made otherwise.",Yes,,Male,1960,United States,Part time,Ph.D. cartography/GIS/geography
3/2/2018 15:14:09,50,20,35,2,A fairly even mix of both,Yes,,,,Male,1974,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/2/2018 14:47:28,75,25,50,4,Flat rate,Sometimes,"You might want to collect City Sate info to help make these values comparable in terms of cost of living. My rates might seem high in some places, but not in the SF Bay Area! ; )",Yes,,Male,1972,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography, Other professional certification in cartography/GIS"
3/2/2018 11:30:27,100,30,70,4,A fairly even mix of both,Sometimes,,,,Male,1984,Belgium,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/2/2018 12:00:54,50,35,45,4,Hourly,Sometimes,Generally I charge a higher rate for a shorter project and lower for a shorter. ,Yes,,Male,1988,United States,Full time,Bachelor's degree in cartography/GIS/geography
3/2/2018 11:17:45,50,35,40,1,Hourly,No,,,,Male,1978,United States,Part time,GISP certification
3/2/2018 22:10:39,75,40,65,4,A fairly even mix of both,Yes,,No,,Male,1986,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/7/2018 8:10:50,100,60,80,4,Flat rate,Sometimes,"lower rate ($75) for large jobs with more time, projects I especially want to do that full rate won't support, and select ongoing clients. Higher rate for unknown clients, priority scheduling, and projects I don't care bout especially. Also, note that when I use online freelance sites (which I do often enough) the price to client and my net receipt may vary by up to 20% because of fees. Same for finders fees/commissions, which I also pay on some projects (10-15%)",Yes,,Male,1965,United States,Full time,
3/3/2018 23:48:48,150,125,125,4,A fairly even mix of both,Sometimes,,No,,Male,1980,United States,Part time,"Bachelor's degree in cartography/GIS/geography, GISP certification"
